,id,order_number,question,label_1,label_2,label_predict
45,46,01007820171012155930,项目名称： 2016年1季度网维中心设备班维护采购（徐曲峰）  项目编码（WBS编码）： 161AAHMA0043     管理层级： 市管市预算  项目申请日期： 2016-02-26    项目关不了 关闭错误提示有在途工单，单据编号：XLL/AHMAS/201612/00059(错误提示见附件），能麻烦查下这个单据是不是徐曲峰发起的？ ,,,受理报错
46,47,01007820171013104742,项目名称： 2015年网维中心设备班徐曲峰辅材采购申请  项目编码（WBS编码）： 151MAHMA0010    关闭此项目时出现存在在途工单;（错误提示见附件） 想问下，根据单据编码能不能查到这个订单的采购订单编码是什么？是那个人发起的，当前处理人是谁，为什么单据名称是合肥、六安，和马鞍山涉及不到。,,,受理报错
47,48,01007820171013152219,项目名称： 2015年网维中心设备班徐曲峰辅材采购申请 项目编码（WBS编码）： 151MAHMA0010 关闭此项目时出现存在在途工单;但是项目里面有一个在途的采购订单AHDD201512020445（带税金额100元）   这个采购订单状态为供应商未接收，已经联系供应商：18905601786，供应商反馈此为做废订单，所以没有接收。请问找谁可以把这个订单做废？,,,固定资产支撑
48,49,01008820171016095805,差旅费报账“费用发生日期”不能选择、“预算单位”点不出来，浏览器换成360和ie都不行，求助。,,,财辅报账支撑
49,50,01010620171026144602,17AH018608 无法设计委托,,,工程类项目支撑
50,51,01010820171017151210, 17AH006650001  宿州2017年营业厅自助缴费机购置  决算转固失败，提示“GC110-FI35 结算过程出错，请检查:WBS未能完全结算【请联系SAP管理员运维】 ”,,,受理报错
51,52,01010820171026164428,17AH008850001 决算提示有在途单，在途单据编码“XWZ/AHSZ/201706/00227”，但是实际此单已完全处理完了，请协助处理一下。,,,订单卡单
52,53,01010820171030162709,17AH008850001 决算时提示“接口系统返回信息 msgid=GC-JHJS-AH_PROJECTCLOSE_20171030162505_hyvvM  错误信息：1：GC63-PS04; 该项目17AH008850001存在在途单据，请先处理在途单据，再操作“关闭”采购需求25684.62 |采购订单125722.23 |订单收货释放预算125722.23- |校验标准：这些字段汇总金额应为0; 请先检查工程全景视图是否存在在途单据，如没有请联系系统维护人员” ,,,订单卡单
53,54,01011420171025154804,"提交不了单据，显示：提交异常:[DAT017|任务已经完成，不允许再次提交],请联系流程引擎兰德厂家支撑人员",,,受理报错
54,55,01011420171026113251,发起报账冲存续预列款，找不到调对记录，怎么办？,,,财辅报账支撑
55,56,01011920170926110126,17AH010367001阜阳分公司大然生物质纤维有限公司等应急光缆接入工程， 本工程部分材料已经列账，由于领料与实际使用后有剩余现在需要平料，但是在平料操作时在MSS库存中没有如下材料： 单据号： XLL/AHFY/201707/00535 里面材料在MSS库存工余料退库办理需求单中无法选择此单号中的材料，请帮忙处理下 ,,,财辅报账支撑
56,57,01011920171017111944,17AH005805001 17AH005880001 17AH005887001 请问一下，这三个项目施工单位未拍照，设计单位拍照并且现在审核已通过，现在施工单位关联后手机APP无法收到这三个项目,,,人像采集报错
57,58,01011920171018095606,17AH012701001   阜阳分公司颍州王店营业部三合刘庙等第三方投资FTTH光缆接入工程民资回购（普服）   做监理订单时找不到新的监理框架协议,,,工程类项目支撑
58,59,01011920171018165454,17AH007833001 您好，此项目已审核状态，请修改一下，施工单位进行施工现场拍照，谢谢！,,,人像采集报错
59,60,01011920171019161744, 17AH012701001   阜阳分公司颍州王店营业部三合刘庙等第三方投资FTTH光缆接入工程民资回购（普服     这个项目监理订单无法做   ,,,固定资产支撑
60,61,01011920171024171657,17AH012701001   阜阳分公司颍州王店营业部三合刘庙等第三方投资FTTH光缆接入工程民资回购（普服）  麻烦看一下，监理订单无法生成，技术性开启一直显示在锁定,,,订单卡单
61,62,01012920171018153615,请问怎么从系统导出一个表格，里面可以包括项目的开工完工等各个环节的日期，以及各项服务费和材料的费用,,,固定资产支撑
62,63,01016120171012103729,161AAHCZ0466，维护项目一直无法关闭。,,,订单卡单
63,64,01016720171024113739,171AAHHB0141维护工程存在材料在途单1197.12元，无法处理，请支撑,,,订单卡单
64,65,01016720171024173451,16AH027783001遗留工程原预转固单错误，需删除,,,订单删单/撤单
65,66,01017320171010112204,方强在吗？ 我们资产决算流程应该是有问题,,,固定资产支撑
66,67,01017320171024144541,铜陵有2个人员已经发itsm工单申请关闭权限，为什么仿佛还有权限，能帮我们查一下吗,,,工号权限/密码
67,68,01017320171027101059,分公司资产模块出问题，每个单据都提不走,,,固定资产支撑
68,69,01017820171009160602,串码输入错误,,,串码释放
69,70,01017820171010092802,XLL/AHXC/201705/00200 删除不掉，处理不了,,,订单删单/撤单
70,71,01017820171018090211,终端移库串码输入错误，已经提交到末梢库，怎么处理,,,串码释放
71,72,01017820171020155905,十字库存已经没了，涛城的还在,,,采购支撑
72,73,01017820171030104611,MSS末梢库存出库单提交后卡单,,,订单卡单
73,74,01018020171025161731,SAP密码解锁，工号34010180@AH,,,工号权限/密码
74,75,01019020171011115650,010190工号中有5张维护项目无法关闭。项目编号分别为150NAHLA0255，150NAHLA0256，150NAHLA0257，150NAHLA0258，150NAHLA0259，请给予支撑。,,,工号权限/密码
75,76,01019420170930154029,"IPTV55120171644710在CRM查看为开通中，开通系统查为 “退单到CRM"" 请处理此工号，将号码发送到外线施工",,,工号权限/密码
76,77,01019420170930154433,订单号：255556495 套餐状态为 竣工中 烦请处理,,,订单卡单
77,78,01020120171009090903,信息中心胡谢斐工号060481异常，原来能审批新综合审批和假勤管理的，现在都不能用,,,受理报错
78,79,01024020170928103800,用户是ocs飞YOUNG套餐，且是校园不限量套餐用户。但是在套餐受理成不限量套餐以后，出现流量超出现象。造成资费超出。现用户称明明宣传的是流量不限量，且也没有出校园。为什么还出现资费超出现象。要求解决。现咨询出现以上现象，应该走什么流程申请补充话费。谢谢,,,流量费用争议
79,80,01024020171003110225,用户武华晨号码17355183055，受理为OCS校园不限量套餐，但是用户在掌上10000显示无流量。请后台查询原因，解决用户问题。谢谢,,,流量费用争议
80,81,01067020170930140252,小前台4G系统里换卡人像采集过不了，但是其他办理业务时人像采集能过，可能是什么原因？,,,人像采集报错
81,82,01067720171010143302,签转不限量套餐进入4G时显示这个是什么意思，联系电话18956788567,,,改签不限量套餐
82,83,01072320171008090953,256004173683，客户编码下的身份证删除，我重新实名，谢谢,,,订单删单/撤单
83,84,01072320171014111604,18956840574，查询为什么超流量。,,,流量费用争议
84,85,01072920171015174531,用户15395153982，乐享4G199套餐改不限量199套餐，用户一张主卡，两张副卡，现提交成了三张主卡了。烦请支撑。 ,,,改签不限量套餐
85,86,02004220171008101321,订单号：255966592，移机单一直没到外线，麻烦看下能否退单，我部重新受理，谢谢！,,,订单卡单
86,87,02006220171010163452,麻烦提取下9月21日到10月10日流量、翼支付、国漫、ITV四个专项服务攻坚池的易支撑工单量，具体的格式和前期一致,,,流量费用争议
87,88,02006220171020103957,麻烦提取下翼支付、流量、国漫、ITV四个专项团队10月11日至10月19日的易支撑单情况，格式同前期,,,流量费用争议
88,89,02006220171027085122,麻烦提取下翼支付、流量、国漫、ITV四个专项团队易支撑单情况，格式同前期（1.10月20日至10月26日；2.10月1日-27日）,,,流量费用争议
89,90,02008320171016170243,请问 H8511061工号请开通智慧诊断和逆向派单的权限，这个 要如何增加 ？,,,工号权限/密码
90,91,02011920171025101646,工号 900216，财辅归口经办单子没有提交按钮，在线等，急   谢谢,,,工号权限/密码
91,92,02012920171012171813,工程编号：17AH005348001 工程名称：安庆分公司潜山县无线网室外站第2批次桂五房基站光网项目。 该工程结算审计后未生成最终服务确认订单，请处理,,,固定资产支撑
92,93,02012920171017103852,建设项目编号：55603170588 建设项目名称：安庆市分公司潜山县普通农村第3批次槎水工业园、余井易地扶贫光网工程  修改建设项目名称为：安庆市分公司潜山县普通农村第3批次槎水工业园、长和安置房光网工程 ,,,固定资产支撑
93,94,02012920171020114145,工程编号：17AH006022001 17AH005348001 17AH005209001 三个工程三码已经提交审核通过了，但MSS还是OSS交资未反馈，请处理。,,,财辅报账支撑
94,95,02012920171026092435,工单编号：55605170058 在关联项目编号环节找不到MSS项目，MSS立项编号是17AH015355,,,财辅报账支撑
95,96,02018720171009082103,110168203套餐竣工中，请竣工，谢谢,,,订单卡单
96,97,02018720171009092104,110117883订单开通中，请竣工，谢谢,,,无匹配标签
97,98,02018720171009105839,110156886订单开通中，请竣工，谢谢,,,无匹配标签
98,99,02018720171009110614,110128072订单待发送，已点缴费通知，请竣工，谢谢,,,订单卡单
99,100,02018720171009150634,110157103订单待发送，已点缴费通知，请竣工，谢谢,,,订单卡单
100,101,02018720171011082134,110226936订单待发送，已点缴费通知，请竣工，谢谢,,,订单卡单
101,102,02018720171011082917,110229851订单开通中，卡单，请竣工,,,订单卡单
102,103,02018720171011093941,110188526订单待发送，已点缴费通知，请竣工,,,订单卡单
103,104,02018720171011105753,110240468订单待发送，已点缴费通知，请竣工。,,,订单卡单
104,105,02018720171011105913,110193243订单待发送，已点缴费通知，请竣工。,,,订单卡单
105,106,02018720171011112038,110193924订单开通中，定单已竣工，请订单竣工，谢谢,,,无匹配标签
106,107,02018720171012084250,110254575订单竣工中，请竣工，谢谢,,,订单卡单
107,108,02018720171012102348,110223734订单开通中，卡单，请竣工，谢谢,,,订单卡单
108,109,02018720171012171416,110285653订单竣工中，请竣工，谢谢,,,订单卡单
109,110,02018720171013092421,110243970订单开通中，请竣工，谢谢,,,无匹配标签
110,111,02018720171013094422,110247020订单开通中，请竣工,,,无匹配标签
111,112,02018720171013094749,110254033订单开通中，请竣工。,,,无匹配标签
112,113,02018720171013144656,110310565订单开通中，请竣工，谢谢,,,无匹配标签
113,114,02018720171013170415,110316445订单待发送，已点缴费通知，请竣工，谢谢,,,订单卡单
114,115,02018720171013170745,110302917订单开通中，请竣工，谢谢,,,无匹配标签
115,116,02018720171015083920,110349949订单待发送，已点缴费通知，请竣工，谢谢,,,订单卡单
116,117,02018720171016091946,110341959订单开通中，请竣工，谢谢,,,无匹配标签
117,118,02018720171016092313,110342769订单开通中，请竣工，谢谢,,,无匹配标签
118,119,02018720171016155159,110155840订单待发送，已点缴费通知，请竣工。,,,订单卡单
119,120,02018720171016164719,110216370订单竣工中，请竣工。,,,订单卡单
120,121,02018720171017083715,110408361订单竣工中，请竣工，谢谢,,,订单卡单
121,122,02018720171017091937,110216370订单竣工中，请竣工。,,,订单卡单
122,123,02018720171017165103,110394194订单开通中，请竣工，谢谢,,,无匹配标签
123,124,02018720171018113451,110422675订单开通中，请竣工，谢谢,,,无匹配标签
124,125,02018720171019082216,110468525订单待发送，已点缴费通知，请竣工。,,,订单卡单
125,126,02018720171019150410,110435795订单开通中，请竣工，谢谢,,,无匹配标签
126,127,02018720171025163314,110683232订单竣工中，请竣工，谢谢,,,订单卡单
127,128,02018720171025180030,110688798订单待发送，已点缴费通知，请竣工，谢谢,,,订单卡单
128,129,02018720171026111326,110646290订单开通中，请竣工，谢谢,,,无匹配标签
129,130,02018720171026114631,110710851手机卡单，请处理，谢谢,,,订单卡单
130,131,02018720171026160116,110655653订单待发送，已点缴费通知，请竣工，谢谢,,,订单卡单
131,132,02018720171026172733,110721625订单待发送，已点缴费通知，请竣工，谢谢,,,订单卡单
132,133,02018720171027101805,110689819卡单，请竣工，谢谢,,,订单卡单
133,134,02018720171027152213,110770234订单待发送，已点缴费通知，请竣工，谢谢,,,订单卡单
134,135,02018720171027162806,110720393卡单，请竣工，谢谢,,,订单卡单
135,136,02018720171030111122,110709836、110709942卡单，请竣工，谢谢,,,订单卡单
136,137,02018720171030114232,109694479竣工中，请竣工，谢谢,,,订单卡单
137,138,02018720171030161304,110879749订单待发送，已点缴费通知，请竣工，谢谢,,,订单卡单
138,139,02018720171030173351,110883072订单待发送，已点缴费通知，请竣工，谢谢,,,订单卡单
139,140,02018720171030173445,110880731订单待发送，已点缴费通知，请竣工，谢谢,,,订单卡单
140,141,02018720171031095948,110845820卡单，请竣工，谢谢,,,订单卡单
141,142,02020820170922115152,根据附件提供的活动ID，协助提取不限量活动外呼数据，谢谢。需要以下字段：活动ID、日期、分公司、外呼号码   ,,,改签不限量套餐
142,143,02020820170930171219,策略平台工号：020208，仅有活动策划权限，前期费相如统一发起申请加管理员权限，其他同事权限正常，请核实,,,工号权限/密码
143,144,02023020171012181940,麻烦看下 IPTV5642017442053这个CRM不欠费，状态显示双停,,,IPTV退单、删单
144,145,02024620171001112417,签转不限量套餐受理到最后一部提示,,,改签不限量套餐
145,146,02024620171015132819,签转不限量199受理到最后提示,,,改签不限量套餐
146,147,02027920171019161937,请问需要mss合同系统查询全市所有mss合同的权限，需要申请什么权限？,,,工号权限/密码
147,148,02028620171005140707,财辅系统资产管理：亳州亳州.网络运营部（资源管理中心）王子力20171005-000006资产重分类，请将这个工单结束掉,,,财辅报账支撑
148,149,02030520171006121418,号码18019966252，用户办理了预存400送700终端，400一直没返还给用户，用户一直投诉。烦请查看~,,,订单卡单
149,150,02030520171011141904,订单号：256606323 申请撤单，重新受理，谢谢~！,,,订单删单/撤单
150,151,02037420170921100611,行客从前天开始办理过户业务，购物车拍照提交时人像系统不通过。（用户双方本人带原件来 拍照提示不通过，后又复件试了也不行）见附件。,,,订单删单/撤单
151,152,02039820170915152617,橙分期担保前期受理正常，现无法受理录入串号,,,串码释放
152,153,02045420171027093817,改不限量出现错误提示,,,改签不限量套餐
153,154,02047920171001183550,工号8506457在小前台系统中收取一次性费用时，提示异常麻烦处理,,,受理报错
154,155,02050220171018162449,请问CRM系统合作伙伴结算子系统新增报账单，怎么选不到成本中心？ ,,,财辅报账支撑
155,156,02053820171009111627,15357293978办理过户时提示身份证照片接口失败，请帮处理！谢谢！,,,人像采集报错
156,157,02054120171010113316,用户18905566268办理实名认证。身份证已读卡。但系统提示无身份证读卡信息。已经换了好几台电脑试过都无法受理。客户在等麻烦处理,,,未实名
157,158,02056220171008173545,18175338777用户升不限量补贴都取消啦为什么还出现这个,,,改签不限量套餐
158,159,02060920171013174735,工号:L7434531包区助手里看到数据仍是上海嘉苑数据？现在该工号对应师傅方韶坤已调整到花亭北村包区，请相关部门调整,,,工号权限/密码
159,160,02074720171001134717,中午在翼销售上激活一张预配卡，缴费环节，用翼支付交，到现在都没到客户帐上。请后端支撑，客户号码17305608698,,,订单待峻工
160,161,02085220171011143734,烦请调取一键预判复开后至昨日台席使用打标清单。,,,无匹配标签
161,162,02085220171012150839,烦请调取10月11日一键预判台席使用打标清单,,,无匹配标签
162,163,02085220171016113212,烦请调取10月12日-10月15日一键预判台席使用打标清单,,,无匹配标签
163,164,02085220171017091857,烦请调取一键预判16日台席使用打标清单,,,无匹配标签
164,165,02085220171018092141,烦请调取一键预判10月17日台席使用打标清单,,,无匹配标签
165,166,02085220171020085332,烦请调取一键预判10月18日-19日台席使用打标清单,,,无匹配标签
166,167,02085220171023092002,烦请调取一键预判10月20日-22日台席使用打标清单。,,,无匹配标签
167,168,02085220171026101538,烦请调取10月24日-25日一键预判台席使用打标清单,,,无匹配标签
168,169,02089520171018141305,8895083昨天新装 因受理错误已经撤单 先重新办理 存的58元费用退不出来 请协调处理 谢谢 发票见图片 谢谢,,,订单删单/撤单
169,170,03000420170925162224,界首政企招投标保证金由市公司账户交款，县公司财辅入账，划扣银行只能选县公司账户，烦请支撑人员添加一下市公司账户1311036109200004127，工号：030004 ,,,工号权限/密码
170,171,03000520171020150448,提交了视图培训费报账单总额14126元，由于渠道发起是本部，事前审批选择错误，请帮助处理,,,财辅报账支撑
171,172,03000520171023172934,17AHSPX006664，这个单子再发起时，还是机关，不能改为本部,,,工程类项目支撑
172,173,03002620171016104249,2017年分公司关于安徽工商职业学院网络设备采购项目， 项目编号： 17AH015249  立项为51万，实际可用资金不足，物资部反映无法发起合同，请相关工位帮忙处理！,,,固定资产支撑
173,174,03002620171020100209,2017年分公司关于安徽工商职业学院网络设备采购项目， 项目编号： 17AH015249  请处理 ,,,固定资产支撑
174,175,03005020171027154749,工号71047190申请增加服务质量管理里面网络运营分析权限，麻烦处理下,,,工号权限/密码
175,176,03005020171027155247,工号71047190申请增加服务质量管理里面网络运营分析权限，麻烦处理下,,,工号权限/密码
176,177,03007720170929154301,JTZF556130987 ，这个号码是本月新装的，为啥状态是10X呢？,,,电子流与易支撑重复派单
177,178,03011120170930161927,？137509254 未竣工，烦请处理 ,,,订单卡单
178,179,03011120171001082001,服务开通系统内调度异常工单和执行异常工单非常多，初步判断为系统问题，烦请省公司联系厂家处理,,,受理报错
179,180,03011120171009093801,能否在服务开通的异常工单处理 页面中增加消息ID项，以利于工单重投 ,,,受理报错
180,181,03011120171012173440,18098574203 号码无法释放，烦请处理 ,,,串码释放
181,182,03011120171016165516,祁门吴冉工号133775，因部门调整，导致OA和CRM系统部分功能不正常1  OA内新综合审批模块不能正常使用。就是申请领充值卡的模块,,,缴费未到账(第三方平台问题)
182,183,03012520171009155534,mss-ict立项管理中如何增加产品项目,,,固定资产支撑
183,184,03013420171030150624,MSS资产报废，提示被冻结,,,财辅报账支撑
184,185,03013420171030150818,资产报废提示：已冻结,,,固定资产支撑
185,186,03015520171002154005,报账单在分管老总处，无提交按钮，详见附件截图。单号：TYA01211180000131710000001 ,,,财辅报账支撑
186,187,03017120171013110750,财务集中权限管理系统，分公司管理员权限如何调整,,,工号权限/密码
187,188,03017220171017170528,请问维护材料采购订单AHDD201507220409一直都不能回退，导致项目151GAHAQ0005无法关闭，麻烦支撑一下，谢谢,,,订单卡单
188,189,03027820171003162916,上传证件回执单显示没有身份证照片信息，怎么处理,,,人像采集报错
189,190,03028420171020102259, 点击打印手签格式时，提示：没有需要打印的报账单。 无法将ctc.com添加到兼容性设置 ,,,财辅报账支撑
190,191,03064420171010152047,在三码系统做卡实关联，报错资源ID和区域无法查询到实体信息。具体见截图,,,受理报错
191,192,03064420171011103844,三码卡实关联报错，提示根据资源ID无法查询到实体信息，请帮处理,,,受理报错
192,193,03094320171002180220,109978597，订单待发送状态，请处理,,,订单卡单
193,194,03094320171003143409,110012754  订单开通中，请处理，谢谢,,,无匹配标签
194,195,03094320171005135951,13335503380，单位用户现要疑似虚假登记停复机 ，提示报错，请后台帮复机，（已清缓存及换几个电脑试过都不行）,,,非实名/疑似虚假登记停机
195,196,03094320171009180341,18055051075此客户要开增票，9月用充值卡交的，现无法开票，提示无数据，请帮处理,,,缴费未到账(第三方平台问题)
196,197,03094320171018095808,"13305503838,请回滚电子发票，谢谢6-8月",,,发票打印
197,198,03094320171021164828,17709603030不限量199单品，加装副卡报错提示，请处理，谢,,,改签不限量套餐
198,199,03094320171022115032,17709603030不限量199单品，加装副卡报错提示，请处理，谢,,,改签不限量套餐
199,200,03094320171025163443,110655483订单已撤单，但是也提示是异常单，不能办业务，请处理，谢谢,,,订单删单/撤单
200,201,03094320171025165748,用户在小前台办理实名，身份证读卡后显示地址与身份证相符，但是打出来的单子上显示的地址不对，竣工后地址和打印出来的错误地址一致，在CRM再次读卡才改为正确地址。,,,未实名
201,202,03094320171026102211,"IPTV5502015364530,请帮查下电视点尊享包是通过什么途径订购的，谢谢",,,IPTV退单、删单
202,203,03094920171009144700,因工作需要，请给本地渠道中心韩志强工号080907增加易支撑建群权限，请给处理，谢谢,,,工号权限/密码
203,204,03094920171012103125,18105671910、 18119970325请给释放下，我们处理不了,,,串码释放
204,205,03096220171031095756,谢工，你好!我的SAP密码被锁定，你可以帮我解决吗。工号是34030962@AH,,,工号权限/密码
205,206,04002020170928124411, 17AH004503001 前期工程挂施工费、设计费的时候，选择的 否，现在过审计接口自动带不出来，需要修改成 是，请处理下，谢谢,,,工程类项目支撑
206,207,04002020170929104022,17AH002310001 施工委托采购订单编号AHDD201704110233 作废不了,,,采购支撑
207,208,04002020171009103939,MSS计划建设里面工程进度计划现可能修改？ ,,,财辅报账支撑
208,209,04002020171011170830,161AAHHF0200-001 ，该工程现已追加113000元，但是现在可用预算还是只有25959.29元，前期已做过结转，现在要挂施工费，可用金额提示不足，请帮忙处理下，谢谢,,,工程类项目支撑
209,210,04002020171013160226,"工程编号;17AH009113001_15,光宽端到端平台显示工程已挂侧，服保流程还显示挂测中，没有走下去，请处理下，谢谢",,,工程类项目支撑
210,211,04002020171019141417,17AH005706001 GC110-FI67 结算过程出错，请检查:卡片被用户BG_JOB_FI锁定，请稍后重新触发自动转固！【请联系SAP管理员运维】,,,固定资产支撑
211,212,04002020171020163509,17AH004805001 预转固 流程处于自动转固并归档状态，可否手动结束？,,,固定资产支撑
212,213,04002020171024111133,17AH009201001 高新区科北2017年6月份第一批应急计件工程（标2国信） 施工委托 是否需结算审计  麻烦改为是  谢谢 ！！  ,,,工程类项目支撑
213,214,04002020171024113329, 包河区金寨路生物药厂光缆迁移工程（国信）  171AAHHF0217-001  维护工程，工程关闭点错了，此工程暂时不能关闭，麻烦调整下,,,工程类项目支撑
214,215,04002020171024145928,报账单里面有个单据号复制，我有几个报账单收支方式填错了请问可以复制一下直接用原来的数据报账吗？,,,财辅报账支撑
215,216,04002020171024172406,17AH009208001 错误信息：1：GC63-PS04; 该项目17AH009208001存在在途单据，请先处理在途单据，再操作“关闭”采购订单36268.21 |订单收货释放预算36268.21- |成本差异43.42。校验标准：这些字段汇总金额应为0; 请先检查工程全景视图是否存在在途单据，如没有请联系系统维护人员,,,订单卡单
216,217,04002020171026100351,"17AH014290001 17AH012960001 会计归档失败,麻烦处理下 ",,,受理报错
217,218,04003220170926112912,你好，我要用翼支撑建群，请查询我的工号是否有权限,,,工号权限/密码
218,219,04007520171013160609,请将工号（040075）增加营销服务策略平台-实用查询权限，谢谢,,,工号权限/密码
